Kinase Accession,Family,Subcellular location
Q99570,Ser/Thr protein kinase family,Late endosome; autophagosome; Cytoplasm; Cytoplasmic vesicle; phagosome; Lipid-anchor; Membrane; autophagosome; phagosome; axon;
Q9BXM7,Ser/Thr protein kinase family,Mitochondrion; Mitochondrion outer membrane; Single-pass membrane protein; Mitochondrion; Mitochondrion inner membrane; Single-pass membrane protein; Mitochondrion; Cytoplasm; cytosol; cytosol;
Q504Y2,,Secreted; Golgi apparatus;
Q99640,Ser/Thr protein kinase family,Endoplasmic reticulum; Endoplasmic reticulum membrane; Peripheral membrane protein; Golgi apparatus; Golgi apparatus membrane; Peripheral membrane protein;
P53350,Ser/Thr protein kinase family; Polo subfamily,Nucleus; centromere; Chromosome; kinetochore; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cytoplasm; cytoskeleton; spindle; Midbody; centrosome; centrosome; kinetochore; kinetochore; kinetochore; spindle; centrosome; spindle; spindle pole; centrosome; spindle; spindle pole;
Q9NYY3,Ser/Thr protein kinase family; Polo subfamily,centriole; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Cell projection; dendrite; centriole; centrosome;
Q9H4B4,Ser/Thr protein kinase family; Polo subfamily,Cytoplasm; Nucleus; nucleolus; Nucleus; Golgi apparatus; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Golgi apparatus; centrosome; nucleolus;
O00444,Ser/Thr protein kinase family; Polo subfamily,centriole; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; nucleolus; Nucleus; Cleavage furrow; centriole; centriole;
Q496M5,Ser/Thr protein kinase family; Polo subfamily,nucleolus; Nucleus; Cytoplasm;
Q9H5K3,Ser/Thr protein kinase family; STKL subfamily,Endoplasmic reticulum; Endoplasmic reticulum membrane; Single-pass type II membrane protein;
Q86YV5,,Cytoplasm; Cell junction; focal adhesion; Nucleus;
Q7Z7A4,,Cytoplasm; Cell membrane; Peripheral membrane protein;
Q05823,,Cytoplasm; Mitochondrion;
Q96S38,Ser/Thr protein kinase family,Cytoplasm; Membrane; Early endosome;
Q9Y6S9,Ser/Thr protein kinase family,
Q96LW2,Ser/Thr protein kinase family,
Q52WX2,Ser/Thr protein kinase family,Cytoplasm;
P0C263,Ser/Thr protein kinase family; STKL subfamily,
P0C264,Ser/Thr protein kinase family; STKL subfamily,
Q96KG9,,centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; Endoplasmic reticulum; Endoplasmic reticulum-Golgi intermediate compartment; cis-Golgi network; Golgi apparatus; Endoplasmic reticulum; Cytoplasm; Cytoplasm; Cytoplasm; Cytoplasm; Cytoplasm; centrosome; Cytoplasm; cytoskeleton; microtubule organizing center; centrosome; Cytoplasm; Nucleus;
Q6P3W7,,Cytoplasm; perinuclear region; clathrin-coated vesicle; Cytoplasm; Cytoplasmic vesicle; Golgi apparatus; trans-Golgi network; trans-Golgi network membrane; Endosome; Endosome membrane; clathrin-coated vesicle; trans-Golgi network;
Q8IZE3,,Cytoplasm; Golgi apparatus; Cell projection; lamellipodium;
O75716,Ser/Thr protein kinase family,Cytoplasm; perinuclear region; Lipid-anchor; Membrane;
Q9BXU1,Ser/Thr protein kinase family,
Q8WU08,Ser/Thr protein kinase family,Cell membrane; Lipid-anchor;
Q9NY57,Ser/Thr protein kinase family,
Q86UX6,Ser/Thr protein kinase family,
Q8TDR2,Ser/Thr protein kinase family,Nucleus; nucleolus; Nucleus; Cytoplasm; stress fiber;
Q9NRP7,Ser/Thr protein kinase family,Cytoplasm; Nucleus;
Q8NE28,Ser/Thr protein kinase family; STKL subfamily,
Q8TEA7,,Cytoplasm; Cytoplasm; cytoskeleton; spindle; Midbody; spindle;
Q9UHD2,Ser/Thr protein kinase family; B kinase subfamily,Cytoplasm;
Q8IWB6,,Cytoplasm; Midbody; centromere; Chromosome; kinetochore;
Q9UKI8,Ser/Thr protein kinase family,Nucleus;
Q86UE8,Ser/Thr protein kinase family,Nucleus; Cytoplasm; perinuclear region; Cytoplasm; cytoskeleton; perinuclear region;
Q96S44,,Cytoplasm; Nucleus;
P33981,Ser/Thr protein kinase family,
Q8TAS1,Ser/Thr protein kinase family,Nucleus;
O75385,Ser/Thr protein kinase family,Cytoplasm; cytosol; Preautophagosomal structure; autophagosome; phagosome;
Q8IYT8,Ser/Thr protein kinase family,Cytoplasm; Cytoplasmic vesicle; Cytoplasmic vesicle membrane; Peripheral membrane protein;
Q6PHR2,Ser/Thr protein kinase family,Cytoplasm;
Q96C45,Ser/Thr protein kinase family,
P30291,Ser/Thr protein kinase family,Nucleus; Cytoplasm;
P0C1S8,Ser/Thr protein kinase family,Nucleus;
Q9H4A3,Ser/Thr protein kinase family; WNK subfamily,Cytoplasm;
Q9Y3S1,Ser/Thr protein kinase family; WNK subfamily,Cytoplasm; Cell membrane;
Q9BYP7,Ser/Thr protein kinase family; WNK subfamily,Cytoplasm;
Q96J92,Ser/Thr protein kinase family; WNK subfamily,Cell junction; tight junction; tight junction;
Q86TW2,ADCK protein kinase family,Secreted;
Q7Z695,ADCK protein kinase family,Membrane; Single-pass membrane protein;
Q3MIX3,ADCK protein kinase family,Membrane; Single-pass membrane protein;
Q8NI60,ADCK protein kinase family,Mitochondrion; Membrane; Single-pass membrane protein;
Q96D53,ADCK protein kinase family,Mitochondrion; Mitochondrion membrane; Single-pass membrane protein; Cytoplasm; cytosol; Cell membrane;
Q96QP1,ALPK subfamily,Cytoplasm; cytosol;
Q86TB3,ALPK subfamily,Basolateral cell membrane;
Q96L96,ALPK subfamily,Nucleus;
O00418,,
Q9BX84,ALPK subfamily; LTrpC subfamily,Cell membrane; Multi-pass membrane protein;
Q96QT4,ALPK subfamily; LTrpC subfamily,Membrane; Multi-pass membrane protein;
Q14296,FAST protein kinase family,Mitochondrion; Mitochondrion matrix;
O14874,PDK/BCKDK protein kinase family,Mitochondrion; Mitochondrion matrix; Mitochondrion;
Q15118,PDK/BCKDK protein kinase family,Mitochondrion; Mitochondrion matrix;
Q15119,PDK/BCKDK protein kinase family,Mitochondrion; Mitochondrion matrix;
Q15120,PDK/BCKDK protein kinase family,Mitochondrion; Mitochondrion matrix;
Q16654,PDK/BCKDK protein kinase family,Mitochondrion; Mitochondrion matrix;
Q13315,ATM subfamily,Nucleus; Cytoplasm; Cytoplasmic vesicle;
Q13535,ATR family; Serpin family; ATM subfamily,Nucleus; Nucleus; PML body; Chromosome;
P42345,,Cytoplasm; Cytoplasmic side; Endoplasmic reticulum; Endoplasmic reticulum membrane; Peripheral membrane protein; Cytoplasm; Cytoplasmic side; Golgi apparatus; Golgi apparatus membrane; Peripheral membrane protein; Cytoplasm; Cytoplasmic side; Mitochondrion; Mitochondrion outer membrane; Peripheral membrane protein; Lysosome; Cytoplasm; Nucleus; PML body; Microsome; Microsome membrane; Lysosome; Lysosome membrane; Lysosome;
P42336,,
P42338,,Cytoplasm; Nucleus;
O00329,,Cytoplasm;
P48736,,Cytoplasm; Cell membrane;
P78527,MCM family,Nucleus; nucleolus; Nucleus;
Q96Q15,,Nucleus; Cytoplasm;
